Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,YRP Unnamed: 6_level_1,ZP Unnamed: 7_level_1,DEM Unnamed: 8_level_1,Diğerleri Diğerleri,Fark Fark,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,ZP Unnamed: 6_level_1,YRP Unnamed: 7_level_1,Kararsız Kararsız,İYİ Unnamed: 4_level_1,SP Unnamed: 5_level_1,CHP Unnamed: 6_level_1,YRP Unnamed: 5_level_1,MHP Unnamed: 3_level_1,CHP Unnamed: 5_level_1,DEM Unnamed: 7_level_1,ZP Unnamed: 8_level_1
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,29.739,507.0,,,,,,35,49,,,,,—,458.0,,—,—,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.35,,,135,,,,68,12,361.0,349.0,52,35,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,,,,2024,2024,2024.0,2024.0,2024,2024,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,62.978,,,—,,,,34,116,534.0,418.0,—,—,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.62,,,47,,,,42,118,478.0,36.0,38,35,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,,,,2024,2024,2024.0,2024.0,2024,2024,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,267.881,,,—,,,,28,27,621.0,351.0,—,—,,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,2.26,408.0,344.0,75,26,25,22,17,64,,,,,83,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2024,2024,2024,,,,,2024,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,519.846,505.0,455.0,—,—,—,—,4,5,,,,,—,,,,,,,,
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-13 Mart,ALF,1.29,,,,62,,,15,182,,,,,85,83.0,,,,432.0,25,45,28
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,2024,,,2024,2024,,,,,2024,2024.0,,,,2024.0,2024,2024,2024
Bursa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,34.687,,,,—,,,12,78,,,,,—,401.0,,,,479.0,—,—,—
