AKP,CHP,Kararsız
48.0,51.1,
48.7,49.5,
45.1,52.4,
44.72,45.13,8.82
46.6,52.9,
43.6,42.9,11.5
49.8,49.0,
51.2,48.8,
35.2,36.5,25.5
