AKP,CHP,Kararsız
44.1,54.8,
46.0,51.8,
42.86,45.06,10.24
47.7,49.8,
44.3,43.5,9.8
45.6,51.6,
44.6,54.1,
51.8,46.3,
45.5,51.2,
43.5,53.5,
35.8,41.7,20.1
52.2,47.8,
36.8,41.6,19.0
31.8,42.0,26.2
44.3,54.1,
