CHP,AKP,IYI,YRP,ZP,DEM
56.9,11.3,0,0,0,43.1
49.8,27.2,2.0,6.8,14.3,0
58.9,8.5,8.3,8.9,10.1,5.3
55.0,22.0,3.0,6.0,4.0,5.0
71.2,8.8,8.6,8.8,0,2.6
62.8,25.4,2.4,0,6.0,3.4
