AKP,CHP,Other
48.0,51.1,0.9
48.7,49.5,1.8
45.1,52.3,2.6
48.72,49.95,1.33
46.6,52.9,0.5
49.3,48.7,2.0
49.8,49.0,1.2
51.2,48.8,0.0
47.3,49.9,2.8
