AKP,CHP,Other
46.1,52.2,1.7
49.7,48.8,1.5
48.0,50.3,1.7
51.0,48.0,1.0
48.3,49.3,2.4
49.3,48.6,2.1
48.4,49.2,2.4
50.0,46.5,3.5
48.5,50.1,1.4
50.9,46.6,2.5
52.1,46.6,1.3
48.4,50.6,1.0
47.9,51.1,1.0
50.7,46.2,3.1
44.0,42.0,14.0
