AKP,CHP,Other
44.8,54.2,1.0
45.0,53.9,1.1
50.2,48.3,1.5
44.4,54.5,1.1
49.3,47.4,3.3
44.5,53.1,2.4
52.2,47.1,0.7
47.5,49.7,2.8
