İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,Kararsız,YRP
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.21,292,343,162,137.0,3.0,36,,51
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-16 Mart,ALF,1.38,283,294,145,132.0,45.0,33,68.0,11
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-4 Mart,ORC,1.07,288,272,192,154.0,,29,65.0,16
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,19-24 Şubat,Themis,1.047,303,132,146,114.0,264.0,42,,39
Isparta,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,132.489,38,286,308,,,23,,72
