İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,Kararsız,DEM
Nevşehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ORC,1.5,268,141,346,135.0,11,,78
Nevşehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-21 Mart,ALF,1.35,282,131,446,85.0,56,,164
Nevşehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-4 Mart,ORC,1.12,241,198,306,152.0,25,78.0,65
Nevşehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,58.212,515,343,103,,39,,172
