İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,YRP
Bolu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,4.015,562,291,102.0,18.0,14.0,13,271
Bolu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-17 Mart,Ank-ar,1.53,558,219,127.0,39.0,24.0,33,339
Bolu,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,94.288,527,447,,,,26,8
