İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,Kararsız,YRP
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,537,83.0,229.0,68.0,41.0,42,,308
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,442,,369.0,,,189,,73
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.608,478,87.0,233.0,73.0,43.0,87,,245
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22 Şub-4 Mar,MAK,1.51,47,8.0,21.0,7.0,5.0,8,5.0,26
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,SONAR,4.318,549,66.0,296.0,43.0,16.0,3,,253
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-26 Şubat,ASAL,1.385,512,66.0,285.0,58.0,29.0,50,,227
Kocaeli,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,555,326.0,,,,119,,229
