İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,YRP
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,509,159,262.0,32.0,21.0,17,247
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,568,179,,,,253,389
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.307,511,159,22.0,69.0,19.0,23,353
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,504,196,232.0,23.0,33.0,12,308
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-14 Mart,ASAL,1.25,482,174,244.0,3.0,24.0,46,238
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-3 Mart,MAK,4.3,56,20,5.0,5.0,5.0,85,36
Kahramanmaraş,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,624.585,676,272,,,,18,404
