İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,Kararsız,MHP
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,493,221.0,286,,272
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.039,578,236.0,52,,342
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,634,231.0,19,,403
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,3 Mart,KODAR,4.337,57,241.0,3,,329
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22 Şub-5 Mar,MAK,1.23,55,15.0,100,5.0,40
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-1 Mar,ASAL,1.28,585,23.0,39,,355
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,67,205.0,27,,465
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Şubat,ORC,1.65,439,206.0,35,111.0,234
Trabzon,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,475.451,646,,59,,351
