İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,Kararsız,MHP
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,523,167.0,31,,356
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.497,618,107.0,98,,511
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-24 Mart,TÜSİAR,2.462,526,262.0,103,,264
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,549,194.0,124,,355
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.63,57,9.0,90,5.0,46
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Ekim,TÜSİAR,7.119,413,117.0,173,8.0,296
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Eylül,ASAL,1.246,505,45.0,3,51.0,392
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023.0,2023,2023.0,2023,2023.0,2023
Konya,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,705,,93,,503
